variable,metodo,jsd_global,jsd_modo_2,jsd_modo_4,jsd_modo_5,benchmark_p95_modo_2,benchmark_p95_modo_4,benchmark_p95_modo_5,jsd_modo_medio,supera_benchmark,n_modos_sobre_benchmark
TESP3,CVAE,0.0552,0.01792,0.45379,0.07415,0.24895,0.08743,0.09988,0.18196,True,1
TESP4,CVAE,0.21682,0.06647,1.0,0.1227,0.0754,0.0,0.01747,0.39639,True,2
TESP5,CVAE,0.82645,0.97498,0.94025,0.93323,0.43762,0.11777,0.17997,0.94949,True,3
CTOT1_w,CVAE,0.28384,0.4328,0.82444,0.22774,0.4298,0.18422,0.22732,0.49499,True,3
CTOT2_w,CVAE,0.52698,0.78348,0.76389,0.35817,0.54488,0.19293,0.18739,0.63518,True,3
CTOT3_w,CVAE,0.104,0.13726,0.80846,0.23629,0.53878,0.20428,0.21873,0.394,True,2
CTOT4_w,CVAE,0.21259,0.06647,0.8411,0.1227,0.0754,0.17941,0.10308,0.34342,True,2
CTOT5_w,CVAE,0.53961,0.77188,0.89645,0.69421,0.59131,0.15071,0.21172,0.78751,True,3
DISP1,CVAE,0.00877,0.00526,0.30492,0.06142,0.0994,0.01942,0.04664,0.12387,True,2
DISP2,CVAE,0.05879,0.0,0.22739,0.00447,0.0,0.02474,0.03407,0.07728,True,1
DISP3,CVAE,0.00842,0.0137,0.04155,0.03806,0.10803,0.02426,0.01505,0.0311,True,2
DISP4,CVAE,0.09549,0.00053,0.0,0.00284,0.0754,0.0,0.01747,0.00112,False,0
DISP5,CVAE,0.0,0.00705,0.0,0.0,0.0519,0.0,0.0,0.00235,False,0
