variable,metodo,jsd_global,jsd_modo_1,jsd_modo_4,benchmark_p95_modo_1,benchmark_p95_modo_4,jsd_modo_medio,supera_benchmark,n_modos_sobre_benchmark
AUTLIC,CVAE,0.13934,0.01009,0.02427,0.10523,0.05828,0.01718,False,0
ILM,CVAE,0.39087,0.62886,0.30351,0.38375,0.14987,0.46619,True,2
HTS,CVAE,0.03036,0.0212,0.02361,0.24426,0.1131,0.02241,False,0
JEFH,CVAE,0.00407,0.00019,0.00162,0.04815,0.01382,0.00091,False,0
TVIA1,CVAE,0.33626,0.50334,0.2438,0.58199,0.15582,0.37357,True,1
TVIA2,CVAE,0.09968,0.03176,0.04705,0.48014,0.14389,0.0394,False,0
TVIA3,CVAE,0.08192,0.04269,0.05132,0.37303,0.13861,0.047,False,0
TVIA4,CVAE,0.2228,0.2003,0.56434,0.30737,0.15178,0.38232,True,1
TVIA5,CVAE,0.52505,0.44274,0.64317,0.45277,0.15973,0.54295,True,1
TCAM1,CVAE,0.36583,0.53795,0.21469,0.51243,0.12376,0.37632,True,2
TCAM2,CVAE,0.03778,0.00524,0.01161,0.13964,0.04689,0.00843,False,0
TCAM3,CVAE,0.05684,0.0283,0.02641,0.4127,0.13155,0.02735,False,0
TCAM4,CVAE,0.18927,0.19976,0.49651,0.26843,0.17656,0.34814,True,1
TCAM5,CVAE,0.54997,0.70819,0.5993,0.5516,0.16027,0.65374,True,2
TESP3,CVAE,0.02373,0.00821,0.00739,0.15619,0.04752,0.0078,False,0
TESP4,CVAE,0.42923,0.22484,1.0,0.08745,0.02717,0.61242,True,2
TESP5,CVAE,0.51727,0.53268,0.98327,0.3363,0.06784,0.75797,True,2
CTOT1_w,CVAE,0.30054,0.52352,0.16428,0.4903,0.14134,0.3439,True,2
CTOT2_w,CVAE,0.02832,0.03273,0.03447,0.37592,0.12438,0.0336,False,0
CTOT3_w,CVAE,0.05238,0.04333,0.04744,0.42569,0.11494,0.04539,False,0
CTOT4_w,CVAE,0.17288,0.09984,0.57447,0.2924,0.09934,0.33716,True,1
CTOT5_w,CVAE,0.48072,0.84345,0.53694,0.4357,0.11731,0.6902,True,2
DISP1,CVAE,0.13895,0.0,1e-05,0.0,0.02026,1e-05,False,0
DISP2,CVAE,0.04988,8e-05,0.00092,0.05393,0.01523,0.0005,False,0
DISP3,CVAE,0.00145,0.00012,0.00011,0.03145,0.0135,0.00011,False,0
DISP4,CVAE,0.01013,5e-05,0.0,0.04483,0.0,3e-05,False,0
DISP5,CVAE,0.00011,0.0,0.00026,0.0,0.00546,0.00013,False,0
