"dataset","metodo","covariable","alternativa","prob_base","prob_perturbada","cambio_abs","elasticidad"
"lc_centro","original","CTOT1_w","1",0.315544830745097,0.31537624836515,-0.000168582379946602,-0.0534258094320634
"lc_centro","original","CTOT1_w","2",0.104357644302399,0.10440668452145,4.90402190508471e-05,0.04699245501244
"lc_centro","original","CTOT1_w","4",0.309075579665945,0.309113669666866,3.80900009206986e-05,0.0123238467956178
"lc_centro","original","CTOT1_w","5",0.271021945286559,0.271103397446534,8.14521599750706e-05,0.0300537138750698
"lc_centro","original","TVIA1","1",0.315544830745097,0.313947864766888,-0.00159696597820902,-0.50609796853211
"lc_centro","original","TVIA1","2",0.104357644302399,0.104823086531843,0.000465442229443697,0.446006837884319
"lc_centro","original","TVIA1","4",0.309075579665945,0.30943486991151,0.00035929024556447,0.116246727079764
"lc_centro","original","TVIA1","5",0.271021945286559,0.27179417878976,0.000772233503200881,0.284933938609428
"lc_centro","original","TCAM1","1",0.315544830745097,0.315143061558466,-0.000401769186630818,-0.127325548538418
"lc_centro","original","TCAM1","2",0.104357644302399,0.104474554547072,0.000116910244672253,0.112028443583375
"lc_centro","original","TCAM1","4",0.309075579665945,0.309166293517197,9.07138512516448e-05,0.0293500545561348
"lc_centro","original","TCAM1","5",0.271021945286559,0.271216090377266,0.000194145090706921,0.0716344539928845
"lc_centro","original","AUTLIC","1",0.315544830745097,0.316917748891397,0.00137291814630047,0.435094481839109
"lc_centro","original","AUTLIC","2",0.104357644302399,0.103959092017318,-0.000398552285081219,-0.381910005486829
"lc_centro","original","AUTLIC","4",0.309075579665945,0.308763950360492,-0.00031162930545342,-0.100826246379683
"lc_centro","original","AUTLIC","5",0.271021945286559,0.270359208730793,-0.00066273655576593,-0.244532432628362
"lc_centro","original","CTOT2_w","1",0.315544830745097,0.315556197775555,1.13670304582869e-05,0.00360235039548768
"lc_centro","original","CTOT2_w","2",0.104357644302399,0.104330550733212,-2.70935691872448e-05,-0.0259622276531417
"lc_centro","original","CTOT2_w","4",0.309075579665945,0.309077821229066,2.24156312056412e-06,0.000725247566626532
"lc_centro","original","CTOT2_w","5",0.271021945286559,0.271035430262167,1.34849756083244e-05,0.00497560284059889
"lc_centro","original","TVIA2","1",0.315544830745097,0.316041811458524,0.000496980713427686,0.157499240996648
