metodo,accuracy_media,accuracy_sd,f1_macro_media,f1_macro_sd,loglik_media_media,loglik_media_sd,prob_media_observada_media,prob_media_observada_sd,l1_market_share_media,l1_market_share_sd,vot_media,vot_sd,rho2_media,rho2_sd,precision_1_media,precision_1_sd,recall_1_media,recall_1_sd,f1_1_media,f1_1_sd,precision_2_media,precision_2_sd,recall_2_media,recall_2_sd,f1_2_media,f1_2_sd,precision_4_media,precision_4_sd,recall_4_media,recall_4_sd,f1_4_media,f1_4_sd,precision_5_media,precision_5_sd,recall_5_media,recall_5_sd,f1_5_media,f1_5_sd
CVAE,0.7206,0.0369,0.6757,0.0479,-0.6803,0.0592,0.6024,0.0216,0.1992,0.0435,0.0435,0.1208,0.2576,0.0224,0.7097,0.0733,0.732,0.0772,0.7161,0.0502,0.4759,0.1216,0.6467,0.1613,0.5354,0.1077,0.8305,0.0649,0.971,0.0353,0.8933,0.0363,0.7648,0.0929,0.4483,0.1153,0.5581,0.1016
ROS,0.7398,0.0428,0.6938,0.0528,-0.649,0.067,0.625,0.0258,0.1888,0.0403,0.2237,0.4645,0.3065,0.0197,0.7426,0.071,0.7568,0.0731,0.7456,0.0474,0.52,0.1464,0.5842,0.1648,0.5347,0.1187,0.8289,0.0677,0.9695,0.0393,0.8918,0.0422,0.7446,0.1058,0.515,0.1196,0.6031,0.1049
SMOTE,0.7425,0.0408,0.6921,0.0526,-0.6385,0.0703,0.643,0.0242,0.1616,0.0376,0.0209,4.8427,0.352,0.02,0.7347,0.0611,0.7768,0.0832,0.7513,0.051,0.5259,0.1492,0.5467,0.1676,0.5197,0.1182,0.8253,0.0665,0.9751,0.0324,0.8921,0.0387,0.7595,0.1071,0.5103,0.1082,0.6052,0.0972
class_weights,0.741,0.0415,0.6949,0.0549,-0.6483,0.0648,0.6243,0.0233,0.1899,0.0381,0.2195,0.4752,0.3039,0.017,0.7364,0.0691,0.7624,0.0814,0.7449,0.0521,0.5287,0.1596,0.5819,0.1671,0.5371,0.1212,0.8282,0.0668,0.9695,0.0393,0.8911,0.0377,0.7547,0.1042,0.5141,0.1126,0.6064,0.1016
original,0.7571,0.0422,0.6824,0.0646,-0.6053,0.0669,0.6565,0.0228,0.0843,0.0343,0.1682,0.107,0.3912,0.0156,0.7089,0.0655,0.8224,0.0772,0.7581,0.0495,0.7642,0.2629,0.3153,0.1698,0.421,0.18,0.8234,0.0679,0.9856,0.0211,0.8954,0.0378,0.7524,0.0994,0.5865,0.1058,0.6552,0.0922
