CHOICE,metodo,n_original,n_sintetico,n_final,ratio_sint_orig,share_original,share_final
1,ROS,1414,3840,5254,2.716,0.132,0.308
2,ROS,6216,0,6216,0.0,0.5804,0.3644
3,ROS,3080,2508,5588,0.814,0.2876,0.3276
1,SMOTE,1414,3840,5254,2.716,0.132,0.308
2,SMOTE,6216,0,6216,0.0,0.5804,0.3644
3,SMOTE,3080,2508,5588,0.814,0.2876,0.3276
1,CVAE,1414,3840,5254,2.716,0.132,0.308
2,CVAE,6216,0,6216,0.0,0.5804,0.3644
3,CVAE,3080,2508,5588,0.814,0.2876,0.3276
