"dataset","metodo","repeticion","fold","n_train","n_sinteticos","accuracy","f1_macro","loglik_holdout","loglik_media","prob_media_observada","l1_market_share","n_valid","precision_1","recall_1","f1_1","precision_2","recall_2","f1_2","precision_4","recall_4","f1_4","precision_5","recall_5","f1_5","beta_asc_car_driver","se_asc_car_driver","beta_asc_car_passenger","se_asc_car_passenger","beta_asc_metro","se_asc_metro","beta_asc_bus","se_asc_bus","beta_b_tcw","se_b_tcw","beta_b_ivt","se_b_ivt","beta_b_wkt","se_b_wkt","beta_b_autlic","se_b_autlic","beta_b_sex_cp","se_b_sex_cp","beta_b_wt","se_b_wt","loglik_train","loglik_nula","rho2","convergio","vot"
"lc_centro","original",0,0,318,0,0.7375,0.656717648822912,-54.367050932229,-0.679588136652862,0.629928169425925,0.0280313576420613,80,0.65625,0.84,0.736842105263158,1,0.25,0.4,0.862068965517241,1,0.925925925925926,0.647058823529412,0.5,0.564102564102564,-3.69118964573457,0.773119833075091,-3.54250038210867,0.497343169884626,0,NA,-0.883356731321786,0.621501804838209,-0.0160157867717062,0.0143010256130286,-0.00306908982292883,0.000772435367817601,-0.00228641783757725,0.000483543819758318,2.24857187375084,0.7155413534512,-0.457146563212719,0.42146153949637,0.000604902152453641,0.00279911902561424,-178.650278647669,-298.347234110352,0.4012001512922,TRUE,0.191629038690172
"lc_centro","original",0,1,318,0,0.775,0.747017543859649,-47.0983197278939,-0.588728996598674,0.650296738629513,0.0511790381242194,80,0.76,0.76,0.76,0.714285714285714,0.625,0.666666666666667,0.78125,1,0.87719298245614,0.8125,0.590909090909091,0.68421052631579,-3.75774760219888,0.730191954896162,-3.35204532343904,0.504359485119382,0,NA,-2.06128235832178,0.622101824541756,-0.0226898078989235,0.0163751280656697,-0.00138230930138031,0.000690077662856552,-0.00210767624748657,0.00050291469202971,2.36830913440557,0.703617281137893,-0.918391608944454,0.412700395186129,0.000615090310991026,0.00339743814965579,-184.59575116388,-301.577403941838,0.387899263170656,TRUE,0.0609220363406378
"lc_centro","original",0,2,318,0,0.7375,0.656870624837957,-51.3208785932547,-0.641510982415683,0.648582818945739,0.0929514444911016,80,0.65625,0.84,0.736842105263158,1,0.25,0.4,0.757575757575758,1,0.862068965517241,0.846153846153846,0.5,0.628571428571429,-3.79078682687091,0.73375695626727,-3.47871170474471,0.470182083888203,0,NA,-1.87288842338945,0.636965840471451,-0.00940334048353302,0.0125697025576439,-0.0018453250206326,0.000736808098679161,-0.00241788728003808,0.000530282058299444,2.18610085327008,0.695342899069535,-0.887369057710883,0.415112870306838,0.00138075835199928,0.00285786437755578,-179.681634923218,-300.361008617514,0.401781090860469,TRUE,0.196241433973821
"lc_centro","original",0,3,319,0,0.759493670886076,0.705836108028117,-45.2661392116032,-0.572989103944345,0.668933531196978,0.0797891575906576,79,0.714285714285714,0.8,0.754716981132076,0.75,0.375,0.5,0.884615384615385,0.92,0.901960784313726,0.666666666666667,0.666666666666667,0.666666666666667,-4.42808082298126,0.72162889341454,-3.65008203091793,0.486934001305936,0,NA,-1.77508709578277,0.648879744287405,-0.015939090349914,0.0144586635460791,-0.00182660278534176,0.00073282472636355,-0.0025779139982416,0.000509845584993215,2.96865082190487,0.708565076641913,-0.562683103541357,0.410174544405834,-0.000180542127091046,0.00284305239330394,-186.182905402717,-302.793799266163,0.385116518720193,TRUE,0.114598935399824
"lc_centro","original",0,4,319,0,0.79746835443038,0.705759823684352,-42.1979223683191,-0.534150916054672,0.689896333644359,0.0464106549418935,79,0.758620689655172,0.88,0.814814814814815,0.666666666666667,0.222222222222222,0.333333333333333,0.827586206896552,1,0.905660377358491,0.833333333333333,0.714285714285714,0.769230769230769,-3.79906982797125,0.752635127375861,-3.31082734674627,0.483105476433277,0,NA,-1.6535710928664,0.59271044127916,-0.0105260567463228,0.0129852530119948,-0.00185482733127931,0.000698052464110006,-0.00210002150961914,0.000485060319005146,2.41686850987378,0.705031856349598,-0.841450839404924,0.399979493586816,0.00161356138842844,0.00368640828659379,-188.576827179894,-303.774628519175,0.379221273023494,TRUE,0.176212932913104
"lc_centro","original",1,0,318,0,0.775,0.683972493294527,-48.0835982804199,-0.601044978505249,0.671116862322342,0.0241129510706601,80,0.676470588235294,0.92,0.779661016949153,0.666666666666667,0.25,0.363636363636364,0.862068965517241,1,0.925925925925926,0.857142857142857,0.545454545454545,0.666666666666667,-3.98065970470428,0.743333115043395,-3.32797227884943,0.476068660746828,0,NA,-1.43675679271518,0.640291585598117,-0.0186071313903411,0.0142982351725516,-0.00219495234702726,0.000742830763362752,-0.00208760258563409,0.000462230969519348,2.8860527887318,0.710419106933874,-0.641561075271674,0.411175408032661,0.00211128346498339,0.00294178037248965,-183.011846423952,-302.793799266163,0.395589186874066,TRUE,0.117962962746996
"lc_centro","original",1,1,318,0,0.7375,0.648714726824659,-51.522680029129,-0.644033500364113,0.637624604014273,0.104102494171501,80,0.638888888888889,0.92,0.754098360655738,0.666666666666667,0.25,0.363636363636364,0.827586206896552,0.96,0.888888888888889,0.833333333333333,0.454545454545455,0.588235294117647,-3.65440807059994,0.730762655884432,-3.54300698646468,0.485591202776004,0,NA,-1.37768435704993,0.63759949568551,-0.00862389521542092,0.0126599654878197,-0.0025181961781342,0.000796489020911617,-0.00260798161970419,0.000546610247545886,2.04302051381523,0.697800760235243,-0.619078898330302,0.410486613989014,0.00106968899475662,0.00300172354868871,-180.497599288121,-299.497962400159,0.397332797052693,TRUE,0.29200217711728
"lc_centro","original",1,2,318,0,0.7625,0.671399594320487,-46.2360388402158,-0.577950485502698,0.665225659943825,0.0795718566987306,80,0.807692307692308,0.84,0.823529411764706,0.5,0.25,0.333333333333333,0.757575757575758,1,0.862068965517241,0.764705882352941,0.590909090909091,0.666666666666667,-3.7881080479234,0.718016469688365,-3.26535690921667,0.476099382765589,0,NA,-2.27332194559104,0.597343951043499,-0.0100935612161266,0.0122291955230932,-0.00116546587355213,0.000635275475840044,-0.0021605211782497,0.000488287319248046,2.26552116094674,0.675226009869733,-0.986881951162426,0.402487073116919,0.00260598846279104,0.00297255708084374,-186.433105698303,-300.47879165317,0.379546540797146,TRUE,0.115466270882674
"lc_centro","original",1,3,319,0,0.759493670886076,0.712157287157287,-53.5594043364961,-0.67796714349995,0.651157799630247,0.16174782252099,79,0.882352941176471,0.6,0.714285714285714,1,0.375,0.545454545454545,0.714285714285714,1,0.833333333333333,0.708333333333333,0.80952380952381,0.755555555555556,-4.04500280542522,0.771951534469845,-3.59054822403733,0.469522204154503,0,NA,-1.35586253243151,0.614355552792102,-0.0285528064399675,0.020973706338855,-0.00253963212851908,0.000761529760345306,-0.00226170844614166,0.000530627971280686,2.54913518358811,0.750652517670564,-0.756960468661476,0.397634426278387,0.000877548341486816,0.00274949196563254,-178.836340079394,-302.454001192572,0.408715575346186,TRUE,0.0889450966530623
"lc_centro","original",1,4,319,0,0.746835443037975,0.693794198007072,-45.7512683156103,-0.579129978678612,0.648283680209224,0.136449424209105,79,0.638888888888889,0.92,0.754098360655738,0.666666666666667,0.444444444444444,0.533333333333333,0.958333333333333,0.958333333333333,0.958333333333333,0.692307692307692,0.428571428571429,0.529411764705882,-4.23205003116234,0.811959917891778,-3.78693658408225,0.590737767339295,0,NA,-1.95087040810956,0.669366398396557,-0.0117730812253952,0.0130317871964271,-0.00155574537557074,0.000726724901870015,-0.00240408641131008,0.000518325074903099,2.48198943366701,0.701876316915999,-0.716992698893791,0.426988654205704,-0.00432904209252199,0.00465661668906976,-187.002147420958,-301.629519942977,0.380027036291706,TRUE,0.132144282859011
