confianza,accuracy_media,accuracy_sd,f1_macro_media,f1_macro_sd,loglik_media_media,loglik_media_sd,prob_media_observada_media,prob_media_observada_sd
0.7,0.3888,0.0103,0.3315,0.0129,-1.118,0.011,0.3492,0.0024
0.8,0.3888,0.0103,0.3316,0.0129,-1.1179,0.011,0.3492,0.0024
0.9,0.3889,0.0103,0.3317,0.0128,-1.1177,0.0111,0.3492,0.0024
0.95,0.3889,0.0102,0.3318,0.0127,-1.1176,0.0111,0.3492,0.0024
