metodo,accuracy_media,accuracy_sd,f1_macro_media,f1_macro_sd,loglik_media_media,loglik_media_sd,prob_media_observada_media,prob_media_observada_sd,l1_market_share_media,l1_market_share_sd,vot_media,vot_sd,rho2_media,rho2_sd,precision_1_media,precision_1_sd,recall_1_media,recall_1_sd,f1_1_media,f1_1_sd,precision_4_media,precision_4_sd,recall_4_media,recall_4_sd,f1_4_media,f1_4_sd,precision_5_media,precision_5_sd,recall_5_media,recall_5_sd,f1_5_media,f1_5_sd
CVAE,0.7996,0.0432,0.7241,0.0577,-0.5208,0.1114,0.7476,0.0305,0.1487,0.0735,0.0302,0.2128,0.4378,0.0235,0.4541,0.1296,0.6009,0.1775,0.5057,0.127,0.743,0.0552,0.9231,0.0528,0.8212,0.0377,0.9529,0.0237,0.7625,0.0645,0.8455,0.0429
ROS,0.7692,0.0465,0.7175,0.0506,-0.4956,0.0821,0.7283,0.0314,0.2315,0.0554,-0.1531,0.3265,0.3244,0.0239,0.3838,0.0684,0.8369,0.1165,0.5238,0.079,0.752,0.0667,0.9206,0.0504,0.8259,0.0481,0.9972,0.0077,0.6742,0.0628,0.8028,0.0464
SMOTE,0.7744,0.0456,0.71,0.0507,-0.4989,0.0908,0.7391,0.0324,0.2264,0.0676,-0.0914,0.4543,0.3846,0.022,0.3795,0.0799,0.7056,0.1582,0.4883,0.0924,0.742,0.0573,0.9723,0.0432,0.84,0.0411,0.9923,0.015,0.675,0.0638,0.8017,0.0468
class_weights,0.7783,0.0258,0.7145,0.0443,-0.4864,0.0537,0.7346,0.018,0.2132,0.0383,-0.2621,0.5255,0.3271,0.0209,0.3538,0.086,0.7678,0.1944,0.4829,0.1164,0.7789,0.0217,0.9115,0.0344,0.8393,0.0086,0.9852,0.0235,0.705,0.0354,0.8214,0.0256
original,0.8158,0.0316,0.6877,0.045,-0.4075,0.0584,0.7501,0.0245,0.0685,0.0425,0.2775,1.9116,0.2526,0.0181,0.5271,0.2012,0.2979,0.1298,0.362,0.1246,0.7352,0.0596,0.9892,0.0188,0.8421,0.0406,0.9282,0.0257,0.802,0.0565,0.859,0.0307
