confianza,accuracy_media,accuracy_sd,f1_macro_media,f1_macro_sd,loglik_media_media,loglik_media_sd,prob_media_observada_media,prob_media_observada_sd
0.7,0.7214,0.0376,0.6762,0.0486,-0.6803,0.0582,0.6023,0.0209
0.8,0.7206,0.0369,0.6757,0.0479,-0.6803,0.0592,0.6024,0.0216
0.9,0.7204,0.0368,0.6755,0.0479,-0.6803,0.0593,0.6024,0.0216
0.95,0.7206,0.0369,0.6758,0.048,-0.6803,0.0593,0.6024,0.0216
