ICH,metodo,n_original,n_sintetico,n_final,ratio_sint_orig,share_original,share_final
1,ROS,53,222,275,4.189,0.093,0.3025
4,ROS,185,117,302,0.632,0.3246,0.3322
5,ROS,332,0,332,0.0,0.5825,0.3652
1,SMOTE,53,222,275,4.189,0.093,0.3025
4,SMOTE,185,117,302,0.632,0.3246,0.3322
5,SMOTE,332,0,332,0.0,0.5825,0.3652
1,CVAE,53,222,275,4.189,0.093,0.3025
4,CVAE,185,117,302,0.632,0.3246,0.3322
5,CVAE,332,0,332,0.0,0.5825,0.3652
