"dataset","metodo","covariable","alternativa","prob_base","prob_perturbada","cambio_abs","elasticidad"
"sm_centro","original","CTOT1_w","1",0.095283688084517,0.0952716731636224,-1.20149208945181e-05,-0.0126096303953524
"sm_centro","original","CTOT1_w","4",0.323076021506084,0.32307958917927,3.56767318626661e-06,0.00110428287733493
"sm_centro","original","CTOT1_w","5",0.581640290409399,0.581648737657107,8.44724770820982e-06,0.00145231474632957
"sm_centro","original","TVIA1","1",0.095283688084517,0.0951125333298777,-0.000171154754639288,-0.179626500694928
"sm_centro","original","TVIA1","4",0.323076021506084,0.323126823888089,5.08023820046111e-05,0.0157245906916228
"sm_centro","original","TVIA1","5",0.581640290409399,0.581760642782034,0.000120352372634636,0.0206918906099031
"sm_centro","original","TCAM1","1",0.095283688084517,0.0952297930630479,-5.38950214690748e-05,-0.0565626945729364
"sm_centro","original","TCAM1","4",0.323076021506084,0.323092023287153,1.60017810693081e-05,0.00495294605731262
"sm_centro","original","TCAM1","5",0.581640290409399,0.581678183649799,3.78932403997112e-05,0.00651489262771657
"sm_centro","original","AUTLIC","1",0.095283688084517,0.0955192666353344,0.000235578550817461,0.247239118839
"sm_centro","original","AUTLIC","4",0.323076021506084,0.32300602721116,-6.99942949240473e-05,-0.0216649612675539
"sm_centro","original","AUTLIC","5",0.581640290409399,0.581474706153506,-0.000165584255893414,-0.0284684982494703
"sm_centro","original","ILM","1",0.095283688084517,0.0957696763103791,0.000485988225862183,0.510043466654135
"sm_centro","original","ILM","4",0.323076021506084,0.323154484705847,7.84631997633456e-05,0.0242862962709438
"sm_centro","original","ILM","5",0.581640290409399,0.581075838983773,-0.000564451425625556,-0.0970447602982001
"sm_centro","original","CTOT4_w","1",0.095283688084517,0.0952847966877156,1.10860319860184e-06,0.00116347637343604
"sm_centro","original","CTOT4_w","4",0.323076021506084,0.323069952773958,-6.06873212599668e-06,-0.00187842232849905
"sm_centro","original","CTOT4_w","5",0.581640290409399,0.581645250538326,4.96012892736708e-06,0.00085278289849484
"sm_centro","original","TVIA4","1",0.095283688084517,0.095334977796885,5.12897123680217e-05,0.05382842897782
"sm_centro","original","TVIA4","4",0.323076021506084,0.322795195788258,-0.000280825717825728,-0.0869224885575234
"sm_centro","original","TVIA4","5",0.581640290409399,0.581869826414857,0.00022953600545772,0.039463566957536
"sm_centro","original","TCAM4","1",0.095283688084517,0.09533965767241,5.59695878930566e-05,0.058739947013188
"sm_centro","original","TCAM4","4",0.323076021506084,0.322769566564566,-0.000306454941518097,-0.0948553656472231
"sm_centro","original","TCAM4","5",0.581640290409399,0.581890775763024,0.000250485353625041,0.043065337418206
"sm_centro","original","TESP4","1",0.095283688084517,0.0953306471682037,4.69590836867095e-05,0.0492834446595483
"sm_centro","original","TESP4","4",0.323076021506084,0.322818911539118,-0.000257109966965652,-0.079581878521062
"sm_centro","original","TESP4","5",0.581640290409399,0.581850441292678,0.000210150883278915,0.0361307300653116
"sm_centro","original","CTOT5_w","1",0.095283688084517,0.0952970118396276,1.33237551106502e-05,0.0139832487370052
"sm_centro","original","CTOT5_w","4",0.323076021506084,0.32310119696723,2.51754611457766e-05,0.00779242638572065
"sm_centro","original","CTOT5_w","5",0.581640290409399,0.581601791193143,-3.84992162564268e-05,-0.0066190765824232
"sm_centro","original","TVIA5","1",0.095283688084517,0.0957406068990501,0.00045691881453315,0.479535189830038
"sm_centro","original","TVIA5","4",0.323076021506084,0.323935960877912,0.000859939371828045,0.266172453102296
