"dataset","metodo","repeticion","fold","n_train","n_sinteticos","accuracy","f1_macro","loglik_holdout","loglik_media","prob_media_observada","l1_market_share","n_valid","precision_1","recall_1","f1_1","precision_4","recall_4","f1_4","precision_5","recall_5","f1_5","beta_asc_car_driver","se_asc_car_driver","beta_asc_metro","se_asc_metro","beta_asc_bus","se_asc_bus","beta_b_tcw","se_b_tcw","beta_b_ivt","se_b_ivt","beta_b_wkt","se_b_wkt","beta_b_autlic","se_b_autlic","beta_b_mi_cd","se_b_mi_cd","beta_b_wt","se_b_wt","beta_b_mi_bus","se_b_mi_bus","loglik_train","loglik_nula","rho2","convergio","vot"
"sm_centro","original",0,0,456,0,0.815789473684211,0.682879053096607,-45.4090971253809,-0.398325413380534,0.755378394364295,0.0232599631988773,114,0.375,0.3,0.333333333333333,0.755102040816326,1,0.86046511627907,0.929824561403509,0.791044776119403,0.854838709677419,-5.05931352592415,1.10083970211698,0,NA,-1.63769501231757,0.590179179207072,-0.00207503079301534,0.0130811085554989,-0.0013927265185319,0.00110756326066167,-0.00102794817788054,0.00041728616636585,1.23132661571247,0.834758775538618,1.74040922703432e-05,6.4758917216292e-06,-0.00398926064266278,0.00229870670665764,-6.58851302448183e-06,5.5972029439843e-06,-172.812827413201,-231.60601554067,0.253850004673756,TRUE,0.671183542538207
"sm_centro","original",0,1,456,0,0.771929824561403,0.630443521939123,-49.984270828244,-0.438458516037228,0.724622066706516,0.080424332313735,114,0.5,0.2,0.285714285714286,0.660714285714286,1,0.795698924731183,0.907407407407407,0.73134328358209,0.809917355371901,-4.68051324335121,1.12653838553605,0,NA,-2.23051541408526,0.675708471318505,-0.0036065760668951,0.0141821428367186,0.000436159831073542,0.0010720274780143,-0.000394658206167834,0.000418093862199078,0.954557535197207,0.802452218749149,1.11739365389443e-05,7.28431654354386e-06,-0.00637083322442693,0.00271935092800548,-5.65847911325433e-06,5.69213314574236e-06,-168.94040781543,-227.447132457311,0.257232192860739,TRUE,-0.120934599183161
"sm_centro","original",0,2,456,0,0.815789473684211,0.711803083611051,-48.7866180438682,-0.427952789858493,0.742176547421744,0.0656103230577886,114,0.571428571428571,0.363636363636364,0.444444444444444,0.711538461538462,1,0.831460674157303,0.945454545454545,0.787878787878788,0.859504132231405,-5.91736844183045,1.18435907359747,0,NA,-2.08012108887222,0.661086507329042,0.00476297341649383,0.013583636279879,-0.00136930635961861,0.00116290371025731,-0.000746191905871276,0.000416361472669344,1.89499954412258,0.832130750547075,1.68422135088911e-05,7.21502375955697e-06,-0.00578728970135967,0.00287472299037339,-2.15816604105354e-06,5.27332851599332e-06,-169.089346214636,-227.041667349202,0.255249716103575,TRUE,-0.28748981778416
"sm_centro","original",0,3,456,0,0.859649122807018,0.74176671691139,-39.2323513652056,-0.344143433028119,0.781567347642632,0.0658507657508751,114,0.571428571428571,0.363636363636364,0.444444444444444,0.782608695652174,0.972972972972973,0.867469879518072,0.950819672131147,0.878787878787879,0.913385826771654,-4.57990306945523,1.07890402563816,0,NA,-1.62926626968294,0.633803553869151,-0.00905059762005238,0.0166195144387103,-0.00217137948080722,0.00112886630848489,-0.000983025059634145,0.000403367688437953,0.729838528368758,0.796667149879191,1.32841331485773e-05,6.79656603724427e-06,-0.00619251277262713,0.00260034885146387,-6.16660092523267e-06,5.3047433578001e-06,-179.008359111096,-234.090922190458,0.23530413979294,TRUE,0.239915591429713
"sm_centro","original",0,4,456,0,0.824561403508772,0.662243322525861,-43.6476907967901,-0.382874480673597,0.758948516702365,0.0504592695908426,114,0.4,0.181818181818182,0.25,0.770833333333333,1,0.870588235294118,0.901639344262295,0.833333333333333,0.866141732283465,-5.62722461133996,1.15749870501654,0,NA,-1.92104010316591,0.678403900238525,0.00320452680350148,0.0121074710925216,-0.00104821541130884,0.00116979784440047,-0.0005179043866975,0.000400589298330571,1.43353721160731,0.852533074425548,1.48262984628122e-05,6.41841506261401e-06,-0.00753749679748154,0.00292118000856845,-7.62609219225139e-06,5.12986919279599e-06,-174.183454946057,-231.60601554067,0.247932077500507,TRUE,-0.327104585352038
"sm_centro","original",1,0,456,0,0.807017543859649,0.616722002635046,-51.0559425726061,-0.447859145373737,0.748494950525467,0.0881536511642287,114,1,0.1,0.181818181818182,0.672727272727273,1,0.804347826086956,0.931034482758621,0.805970149253731,0.864,-6.2303844889469,1.2244350394101,0,NA,-2.50763290000184,0.665733463007105,0.00495693560758264,0.016209266634296,-0.00107213927616044,0.00112011232562591,-0.000830957681502003,0.00042465342263007,1.35370238631354,0.839758434453977,1.58006847959938e-05,7.12041971813527e-06,-0.00841040306018218,0.00295303876107098,-3.85975535883887e-06,5.27902172869703e-06,-167.33625998433,-232.29916272123,0.279651902210509,TRUE,-0.216290741102302
"sm_centro","original",1,1,456,0,0.850877192982456,0.766296415195292,-42.6306082567738,-0.373952704006787,0.763064311700121,0.0179419754131699,114,1,0.4,0.571428571428572,0.711538461538462,1,0.831460674157303,0.96551724137931,0.835820895522388,0.896,-4.98831188860109,NA,0,NA,-1.68178904909676,NA,0.0068491239602746,NA,-0.00121960554700876,NA,-0.000749355868194625,NA,1.46738410427538,NA,1.08576313833596e-05,NA,-0.00422934715034523,NA,-5.81666576796893e-06,NA,-175.679821760972,-230.507403252002,0.237856054588796,FALSE,-0.178067378263638
"sm_centro","original",1,2,456,0,0.789473684210526,0.667203226561515,-48.6410845068017,-0.426676179884225,0.736496438795607,0.0436500584818781,114,0.5,0.272727272727273,0.352941176470588,0.69811320754717,1,0.822222222222222,0.909090909090909,0.757575757575758,0.826446280991736,-5.38090511588448,NA,0,NA,-2.36989551444957,NA,-0.00193610258517011,NA,9.11433650402992e-05,NA,-0.000622020190270144,NA,1.25998820784376,NA,1.30301962804162e-05,NA,-0.00761341079284557,NA,-6.56190535992153e-06,NA,-169.353143572169,-227.447132457311,0.255417548058315,FALSE,-0.0470756899652045
"sm_centro","original",1,3,456,0,0.807017543859649,0.737504396519222,-54.0855129483423,-0.474434324108266,0.712337716096072,0.173426036934608,114,0.4375,0.636363636363636,0.518518518518518,0.777777777777778,0.945945945945946,0.853658536585366,0.943396226415094,0.757575757575758,0.840336134453782,-4.66011800455419,1.13320674793813,0,NA,-1.36935900076132,0.712922101746999,-0.0169990995243141,0.0141333582207259,-0.00248617629601207,0.00119866229801437,-0.000969532824672165,0.000426704578418274,1.43910414368707,0.848923100833007,2.11563240926821e-05,8.61956093789275e-06,-0.00362470022192026,0.00287313433039873,-2.74809089220007e-06,6.50354281784168e-06,-168.002215550417,-224.151295591306,0.25049634396611,TRUE,0.146253411391354
"sm_centro","original",1,4,456,0,0.850877192982456,0.646950991395436,-36.7921189417072,-0.322737885453572,0.790500443848359,0.13128557817495,114,0.25,0.0909090909090909,0.133333333333333,0.840909090909091,1,0.91358024691358,0.893939393939394,0.893939393939394,0.893939393939394,-4.71577832357292,1.09078095550388,0,NA,-1.47955092646792,0.607575513422916,-0.00133362559234349,0.0142026136886622,-0.00125981045213268,0.00113638659157789,-0.000576344614579165,0.00038967641770993,0.736728231129571,0.809798128261344,1.58310531068156e-05,6.22786971208971e-06,-0.00556298689191631,0.00239177450611389,-8.45242604574244e-06,5.21204565307698e-06,-181.410134176415,-237.386759056463,0.235803484164563,TRUE,0.944650777073719
