variable,metodo,jsd_global,jsd_modo_1,jsd_modo_3,jsd_modo_4,benchmark_p95_modo_1,benchmark_p95_modo_3,benchmark_p95_modo_4,jsd_modo_medio,supera_benchmark,n_modos_sobre_benchmark
vehind,SMOTE,0.05282,0.0646,0.07939,0.07882,0.09243,0.00641,0.00931,0.07427,True,2
owncycle,SMOTE,0.0059,0.01371,0.04369,0.05845,0.02115,0.00751,0.01201,0.03862,True,2
gender,SMOTE,0.03463,0.07799,0.04089,0.08525,0.04694,0.00757,0.0099,0.06804,True,3
work,SMOTE,0.01883,0.05183,0.05117,0.03264,0.04694,0.00752,0.01088,0.04521,True,3
visa,SMOTE,0.00367,0.002,0.00453,0.00133,0.06551,0.01171,0.01444,0.00262,False,0
age,SMOTE,0.01271,0.07626,0.02435,0.03687,0.34354,0.06206,0.09494,0.04583,False,0
solo,SMOTE,0.02183,0.05458,0.04176,0.04738,0.05387,0.01245,0.0088,0.04791,True,3
shared,SMOTE,0.08189,0.03979,0.06995,0.02371,0.04563,0.0085,0.01151,0.04448,True,2
family,SMOTE,0.00777,0.02115,0.07487,0.04177,0.04297,0.00625,0.01158,0.04593,True,2
child,SMOTE,0.00973,0.02115,0.05461,0.05067,0.04297,0.00594,0.00813,0.04214,True,2
primary_caregiver,SMOTE,0.00844,0.0,0.00889,0.02907,0.0,0.00851,0.01122,0.01265,True,2
LAT,SMOTE,0.02799,0.20276,0.05736,0.04964,0.37808,0.05579,0.06489,0.10325,True,1
LONG,SMOTE,0.02865,0.1388,0.02963,0.06702,0.39911,0.08423,0.10097,0.07848,False,0
DAUID,SMOTE,0.13936,0.24337,0.182,0.12056,0.20031,0.10728,0.10787,0.18198,True,3
mhi,SMOTE,0.09225,0.26886,0.07674,0.05433,0.29799,0.08146,0.10916,0.13331,False,0
dwell_den,SMOTE,0.01167,0.23504,0.04375,0.0463,0.30867,0.03868,0.05103,0.10837,True,1
lum,SMOTE,0.14024,0.39726,0.12442,0.07876,0.28908,0.08326,0.12129,0.20015,True,2
st_den,SMOTE,0.10429,0.33604,0.10679,0.07875,0.34178,0.09694,0.12208,0.17386,True,1
inter_den,SMOTE,0.03273,0.32952,0.04417,0.041,0.32,0.04363,0.07256,0.13823,True,2
SF_P_ratio,SMOTE,0.06016,0.23909,0.08878,0.08792,0.25149,0.06815,0.10667,0.1386,True,1
side_den,SMOTE,0.12738,0.3478,0.08811,0.07582,0.38434,0.08468,0.09587,0.17058,True,1
Shelters_SD,SMOTE,0.01533,0.0,0.02423,0.02082,0.0,0.00942,0.00843,0.01502,True,2
Shelters_D,SMOTE,0.06814,0.02851,0.08056,0.03626,0.07656,0.00518,0.00797,0.04844,True,2
Shelters_A,SMOTE,0.04336,0.06348,0.05817,0.04954,0.06594,0.00596,0.01451,0.05706,True,2
Shelters_SA,SMOTE,0.0101,0.03198,0.01201,0.00875,0.06551,0.0046,0.01025,0.01758,True,1
RespondentID,CVAE,0.01242,0.01989,0.01537,0.01295,0.43788,0.07444,0.08351,0.01607,False,0
avcycle,CVAE,0.0379,0.0,2e-05,0.00018,0.0,0.01213,0.00788,7e-05,False,0
avwalk,CVAE,0.00712,0.0,0.00144,0.0001,0.0,0.01266,0.0119,0.00052,False,0
avhsr,CVAE,0.00059,5e-05,0.0,0.00101,0.04297,0.0,0.01809,0.00036,False,0
avcar,CVAE,0.0043,0.00028,0.00082,0.0,0.09328,0.01123,0.0,0.00037,False,0
timecycle,CVAE,0.87215,0.58117,1.0,1.0,0.31577,0.0415,0.03865,0.86039,True,3
timewalk,CVAE,0.34377,1.0,0.2575,0.08777,0.0,0.08586,0.07321,0.44842,True,3
accesshsr,CVAE,0.51532,0.79926,0.72965,0.9048,0.39322,0.06056,0.0877,0.81124,True,3
waitingtimehsr,CVAE,0.11345,0.90182,0.58076,0.88996,0.0,0.06989,0.0,0.79085,True,3
transfer,CVAE,0.2713,0.03198,1.0,0.72213,0.06551,0.01278,0.01522,0.5847,True,2
timehsr,CVAE,0.17503,0.58671,0.42918,0.4015,0.36743,0.06888,0.0939,0.47246,True,3
timecar,CVAE,0.63779,1.0,0.86172,0.24251,0.2338,0.03354,0.08136,0.70141,True,3
parking,CVAE,0.00297,0.0,9e-05,0.00095,0.0,0.00648,0.00677,0.00035,False,0
vehind,CVAE,1.0,1.0,1.0,1.0,0.09243,0.00641,0.00931,1.0,True,3
owncycle,CVAE,1.0,1.0,1.0,1.0,0.02115,0.00751,0.01201,1.0,True,3
gender,CVAE,1.0,1.0,1.0,1.0,0.04694,0.00757,0.0099,1.0,True,3
work,CVAE,1.0,1.0,1.0,1.0,0.04694,0.00752,0.01088,1.0,True,3
visa,CVAE,0.49351,1.0,0.6277,0.06884,0.06551,0.01171,0.01444,0.56551,True,3
age,CVAE,0.54883,0.65486,0.60311,0.72233,0.34354,0.06206,0.09494,0.6601,True,3
solo,CVAE,0.00825,0.00107,0.0,0.0,0.05387,0.01245,0.0088,0.00036,False,0
shared,CVAE,0.01408,0.00037,0.00012,0.00024,0.04563,0.0085,0.01151,0.00024,False,0
family,CVAE,0.4069,0.05294,0.71187,0.96598,0.04297,0.00625,0.01158,0.57693,True,3
child,CVAE,0.37347,0.02115,0.63299,1.0,0.04297,0.00594,0.00813,0.55138,True,2
