"ID","ICH","SEXO","AUTLIC","ILM","HTS","JEFH","TVIA1","TVIA2","TVIA3","TVIA4","TVIA5","TCAM1","TCAM2","TCAM3","TCAM4","TCAM5","TESP3","TESP4","TESP5","CTOT1_w","CTOT2_w","CTOT3_w","CTOT4_w","CTOT5_w","DISP1","DISP2","DISP3","DISP4","DISP5"
"87",45,5,1,0,60000,65,1,0,0,0,0,1139,0,0,0,0,720,0,0,30,0,0,0,0,11.18,0,0,0,0,1
"89",46,5,0,0,18000,44,0,0,0,960,0,1381,0,0,252,0,252,138,0,12,0,0,50.4533333333333,0,25.2266666666667,0,0,1,0,1
"91",47,5,1,0,28000,55,1,0,0,807,0,1200,0,0,310,0,310,138,0,12,0,0,40.5428571428571,0,20.2714285714286,0,0,1,0,1
"93",48,1,1,1,95000,50,1,383,0,300,0,446,0,0,274,0,310,138,0,12,2.30842105263158,0,10.8631578947368,0,5.43157894736842,1,0,1,0,1
"95",49,5,1,0,17000,45,1,0,0,768,0,1008,0,0,950,0,677,36,0,42,0,0,54.6352941176471,0,27.3176470588235,0,0,1,0,1
"97",50,2,0,0.5,55000,50,1,992,992,1057,0,1206,324,0,670,0,562,78,0,30,26.2690909090909,9.61636363636364,18.7636363636364,0,9.38181818181818,1,1,1,0,1
"101",52,2,0,1,20000,42,0,0,347,368,384,674,0,0,569,778,367,24,192,300,0,13.545,43.344,13.545,21.672,0,1,1,1,1
"103",53,4,0,0,30000,44,0,0,0,361,384,530,0,0,706,662,475,24,192,12,0,0,30.272,9.46,15.136,0,0,1,1,1
"105",54,5,0,1,35000,40,1,635,0,839,0,1212,302,0,770,0,770,138,0,12,35.9725714285714,0,23.5885714285714,0,11.7942857142857,1,0,1,0,1
"107",55,4,1,1,34000,40,1,449,0,498,570,742,302,0,468,1008,338,30,192,42,40.9764705882353,0,24.2823529411765,7.58823529411765,12.1411764705882,1,0,1,1,1
"110",57,4,0,0.75,83000,50,1,0,383,448,438,594,0,0,317,547,518,24,192,12,0,3.8855421686747,6.21686746987952,3.41927710843374,6.21686746987952,0,1,1,1,1
"112",58,2,0,0.4,90000,48,0,835,861,0,0,1063,331,101,0,0,288,0,0,210,24.4928,5.0912,0,0,5.504,1,1,0,0,1
"116",60,5,0,0,25000,44,1,0,0,0,0,748,0,0,0,0,266,0,0,12,0,0,0,0,18.1632,0,0,0,0,1
"117",61,5,0,0,37000,44,1,0,0,632,0,850,0,0,734,0,691,36,0,18,0,0,24.5448648648649,0,12.2724324324324,0,0,1,0,1
"120",63,5,0,0,15000,60,1,0,0,0,0,893,0,0,0,0,331,0,0,12,0,0,0,0,41.28,0,0,0,0,1
"122",64,4,0,0,75000,42,0,0,0,0,672,778,0,0,0,518,454,0,192,12,0,0,0,3.612,5.7792,0,0,0,1,1
"124",65,1,1,1,70000,48,0,543,560,0,0,1239,252,0,0,0,590,0,0,360,14.5069714285714,4.77668571428571,0,0,7.07657142857143,1,1,0,0,1
"126",66,5,1,0.33,40000,48,0,0,1040,1037,0,1326,0,29,288,0,756,60,0,54,0,18.8856,24.768,0,15.48,0,1,1,0,1
"128",67,3,1,1,68000,48,1,1111,0,1057,0,1280,446,0,360,0,446,60,0,42,43.344,0,18.2117647058824,0,7.28470588235294,1,0,1,0,1
"130",68,5,1,0,37000,44,1,0,0,0,0,564,0,0,0,0,461,0,0,42,0,0,0,0,12.2724324324324,0,0,0,0,1
"134",70,5,0,0,24000,40,1,0,0,1165,0,1630,0,0,612,0,612,138,0,12,0,0,34.4,0,17.2,0,0,1,0,1
"136",71,5,0,0,15000,40,0,0,0,0,0,985,0,0,0,0,713,0,0,30,0,0,0,0,27.52,0,0,0,0,1
"138",72,4,0,1,20000,40,1,0,0,0,762,1001,0,0,0,497,209,0,192,30,0,0,0,12.9,20.64,0,0,0,1,1
"140",73,5,0,0,23000,40,0,0,0,0,618,808,0,0,0,626,389,0,192,12,0,0,0,11.2173913043478,17.9478260869565,0,0,0,1,1
"142",74,4,0,0,25000,44,0,0,0,0,762,977,0,0,0,374,223,0,192,30,0,0,0,11.352,18.1632,0,0,0,1,1
"144",75,4,0,0,25000,40,1,0,0,0,684,818,0,0,0,648,605,0,192,12,0,0,0,10.32,16.512,0,0,0,1,1
"146",76,5,0,0,39000,45,0,0,0,887,0,1103,0,0,396,0,295,78,0,42,0,0,23.8153846153846,0,11.9076923076923,0,0,1,0,1
