"RespondentID" "choice" "avcycle" "avwalk" "avhsr" "avcar" "timecycle" "timewalk" "accesshsr" "waitingtimehsr" "transfer" "timehsr" "timecar" "parking" "vehind" "owncycle" "gender" "work" "visa" "age" "solo" "shared" "family" "child" "primary_caregiver" "LAT" "LONG" "DAUID" "mhi" "dwell_den" "lum" "st_den" "inter_den" "SF_P_ratio" "side_den" "Shelters_SD" "Shelters_D" "Shelters_A" "Shelters_SA"
"20" 566936288 2 0 1 1 0 1.47501882649786 15 5.33 10.23 0 4 11.5129254649702 0 0 0 1 0 1 19 0 1 0 0 0 43.257315 -79.935414 35250963 3.5784 4091.346668 0.503834 4.643304097 13.37041395 0.084188 6.352265804 0 0 1 0
"21" 566936854 2 0 1 0 1 1.47501882649786 15 0 10.23 0 0 1.6094379124341 0 0 0 0 0 1 19 0 1 0 0 0 43.257905 -79.914817 35250670 9.8697 332.0281193 0.336606 11.88381306 29.76803829 0.313389 18.5668136 0 0 0 0
"22" 566938024 3 0 0 1 1 11.5129254649702 0 5 10 2 65 3.40119738166216 0 0 1 1 1 1 19 0 0 1 1 0 43.208578 -79.879401 35250655 8.3991 433.5103501 0.562717 5.426128632 30.10488542 0.189713 9.586897009 1 0 0 0
"23" 566939887 3 0 1 1 0 1.13320373340173 12.42236025 6 15 0 5 11.5129254649702 0 0 0 0 0 1 21 0 1 0 0 0 43.262216 -79.90513 35250677 9.358 1818.71805 0.286445 16.18344475 68.81635863 0.38294 35.43306805 0 1 0 0
"24" 566941574 4 0 0 1 1 11.5129254649702 0 21.31 10.23 0 15 3.2188758248682 0 1 0 1 0 1 32 1 0 0 0 0 43.259394 -79.878728 35250801 4.1382 2638.780297 0.510463 15.63125489 29.31978108 0.328903 26.912703 0 0 1 0
"25" 566942436 2 1 1 1 0 1.47501882649786 15 31.97 10.23 0 3 11.5129254649702 0 0 1 1 0 1 28 1 0 0 0 0 43.261881 -79.905924 35250675 4.577 1688.572472 0.28083 19.4975356 109.5290252 0.356169 39.64003191 0 1 0 0
"26" 566948283 3 0 0 1 1 11.5129254649702 0 5 5 0 10 2.70805020110221 0 1 1 1 0 1 21 1 0 0 0 0 43.257449 -79.930483 35250680 4.8067 488.7095562 0.682357 10.18232626 30.07443422 0.250599 19.88144051 0 0 0 0
"27" 566948713 3 0 0 1 1 11.5129254649702 0 2 7 0 15 1.79175946922805 0 1 0 0 0 1 19 1 0 0 0 0 43.25222 -79.93953 35250964 6.3081 534.6674559 0.455743 13.55660792 15.27621303 0.074477 8.22849688 0 0 1 0
"28" 566949396 2 1 1 1 0 1.06955371838969 10 29.81 10.23 0 13 11.5129254649702 0 0 1 0 0 1 21 0 1 0 0 0 43.257934 -79.914077 35250670 9.8697 332.0281193 0.336606 11.88381306 29.76803829 0.313389 18.5668136 0 1 0 0
"29" 566949890 2 0 1 1 0 1.06955371838969 10 6.21 10.23 0 20 11.5129254649702 0 0 0 0 0 1 19 0 1 0 0 0 43.257705 -79.9222 35250670 9.8697 332.0281193 0.336606 11.88381306 29.76803829 0.313389 18.5668136 0 0 1 0
"30" 566954431 3 0 0 1 1 11.5129254649702 0 5 15 1 45 3.2188758248682 0 1 0 1 1 1 35 1 0 0 0 0 43.239051 -79.844184 35250444 4.0152 1883.017536 0.712804 14.91238084 23.5377192 0.386258 23.02237068 0 0 1 0
"31" 566955248 2 1 1 0 1 1.06955371838969 10 0 10.23 0 0 0 0 1 1 0 1 1 21 0 1 0 0 0 43.257705 -79.9222 35250670 9.8697 332.0281193 0.336606 11.88381306 29.76803829 0.313389 18.5668136 0 0 1 0
"32" 566959464 2 0 1 1 0 1.60018196945186 17 24.84 10.23 0 10 11.5129254649702 0 0 0 0 0 1 20 0 1 0 0 0 43.257705 -79.9222 35250670 9.8697 332.0281193 0.336606 11.88381306 29.76803829 0.313389 18.5668136 0 0 1 0
"33" 566959744 3 0 1 1 0 1.31552529035668 12.78863233 2 15 0 10 11.5129254649702 0 0 0 1 1 1 28 1 0 0 0 0 43.257315 -79.935414 35250963 3.5784 4091.346668 0.503834 4.643304097 13.37041395 0.084188 6.352265804 0 1 0 0
"34" 566960891 1 1 1 1 1 2.99573227355399 0 62.11 10.23 0 20 2.30258509299405 0 0 1 0 1 1 45 0 0 1 1 0 43.263228 -79.901711 35250848 5.3641 404.6750851 0.514126 6.513789412 2.610807 0.100295 4.543402359 0 0 1 0
"35" 566962937 3 0 1 1 0 1.82635091396167 24.8447205 7 5 0 15 11.5129254649702 0 0 0 0 0 1 19 0 1 0 0 0 43.25845 -79.907797 35250855 4.2154 1391.982183 0.701271 12.87040646 73.07906459 0.199425 6.605343875 1 0 0 0
"36" 566962977 4 0 0 1 1 11.5129254649702 0 3.73 10.23 2 69 4.0943445622221 1 1 0 0 0 1 28 0 0 1 1 1 43.196222 -79.79586 35250199 4.5299 105.2937052 0.501115 3.967330702 7.961231371 0.030968 2.444961259 1 0 0 0
"37" 566964478 2 0 1 1 1 1.47501882649786 15 0.12 10.23 0 5 1.09861228866811 0 1 0 0 1 1 20 0 1 0 0 0 43.2577 -79.9222 35250669 5.4911 892.1743564 0.47946 14.30782564 45.88325261 0.268249 37.4575743 0 1 0 0
"38" 566964997 3 0 0 1 1 11.5129254649702 0 20 10 0 35 2.484906649788 0 0 1 1 1 1 32 0 1 0 0 0 43.258371 -79.85726 35250476 3.843 2804.817687 0.324912 15.85926415 65.99571028 0.420742 33.6389458 0 0 1 0
"39" 566965817 2 0 1 1 0 1.76270089894964 20 10.66 10.23 2 10 11.5129254649702 0 0 0 1 0 1 19 0 1 0 0 0 43.257705 -79.9222 35250670 9.8697 332.0281193 0.336606 11.88381306 29.76803829 0.313389 18.5668136 0 0 0 0
"40" 566965845 4 0 0 1 1 11.5129254649702 0 2.11 10.23 1 33 2.99573227355399 0 0 0 0 1 1 60 0 0 1 1 0 43.221214 -79.89024 35250526 3.0606 1430.577264 0.727784 6.822078576 18.54452009 0.153868 12.96710663 0 0 1 0
"41" 566967664 2 1 1 1 1 0.558728094623701 6 5.22 10.23 0 2 1.6094379124341 0 1 1 1 1 1 20 0 1 0 0 0 43.257648 -79.923876 35250669 5.4911 892.1743564 0.47946 14.30782564 45.88325261 0.268249 37.4575743 0 0 0 0
"42" 566969545 2 0 1 1 1 1.47501882649786 15 12.42 10.23 0 5 1.38629436111989 0 1 0 0 0 1 24 0 1 0 0 0 43.257822 -79.919413 35250669 5.4911 892.1743564 0.47946 14.30782564 45.88325261 0.268249 37.4575743 0 0 0 0
"43" 566970291 2 0 1 1 1 1.06955371838969 10 12.42 10.23 0 1 0 0 1 0 0 1 1 19 0 1 0 0 0 43.257879 -79.916185 35250670 9.8697 332.0281193 0.336606 11.88381306 29.76803829 0.313389 18.5668136 0 0 0 0
"44" 566973504 4 0 0 1 1 11.5129254649702 0 12.42 10.23 1 35 2.99573227355399 1 1 1 0 1 1 23 0 0 1 1 0 43.212541 -79.855839 35250593 6.5631 914.719955 0.38962 18.7734309 56.29045877 0.231705 21.74058123 0 0 1 0
"45" 566974650 4 0 0 1 1 11.5129254649702 0 4.97 10.23 1 80 3.2188758248682 1 0 0 0 0 1 22 0 1 0 0 0 43.194542 -79.788583 35250199 4.5299 105.2937052 0.501115 3.967330702 7.961231371 0.030968 2.444961259 0 0 0 0
"46" 566981990 3 0 1 1 0 1.13320373340173 10.65719361 30 20 0 22 11.5129254649702 0 0 0 1 0 1 31 1 0 0 0 0 43.259156 -79.902437 35250675 4.577 1688.572472 0.28083 19.4975356 109.5290252 0.356169 39.64003191 0 1 0 0
"47" 566986817 3 0 0 1 1 11.5129254649702 0 4 4 0 8 1.6094379124341 0 1 1 0 0 1 22 0 1 0 0 0 43.257822 -79.919413 35250669 5.4911 892.1743564 0.47946 14.30782564 45.88325261 0.268249 37.4575743 0 0 0 0
"48" 566989682 4 0 0 1 1 11.5129254649702 0 21.31 10.23 0 25 2.70805020110221 0 1 1 1 1 1 25 1 0 0 0 0 43.250457 -79.879188 35250391 3.6778 4200.463499 0.311211 17.05446118 101.3904983 0.434773 29.95914548 0 1 0 0
"49" 566991188 2 0 1 1 0 1.06955371838969 10 2.48 10.23 0 8 11.5129254649702 0 0 0 0 0 1 19 0 1 0 0 0 43.257934 -79.914077 35250670 9.8697 332.0281193 0.336606 11.88381306 29.76803829 0.313389 18.5668136 0 0 0 0
"50" 566992428 2 0 1 1 0 1.76270089894964 20 12.42 10.23 0 30 11.5129254649702 0 0 0 0 1 1 27 1 0 0 0 0 43.257415 -79.931691 35250680 4.8067 488.7095562 0.682357 10.18232626 30.07443422 0.250599 19.88144051 1 0 0 0
"51" 566992458 3 0 0 1 1 11.5129254649702 0 8 35 1 80 3.40119738166216 0 0 1 0 0 1 20 0 0 1 1 0 43.215416 -79.795569 35250213 7.3859 258.3812415 0.300657 5.354030747 19.37859311 0.040832 6.569837609 0 0 1 0
"52" 566993038 1 1 1 1 1 2.30258509299405 0 62.11 10.23 0 5 0.693147180559945 0 1 1 0 1 1 27 1 0 0 0 0 43.257401 -79.932111 35250680 4.8067 488.7095562 0.682357 10.18232626 30.07443422 0.250599 19.88144051 0 0 0 0
"53" 566993539 4 0 0 1 1 11.5129254649702 0 10.66 10.23 1 20 2.99573227355399 1 0 1 1 0 1 20 0 0 1 0 0 43.2286 -79.93699 35250070 7.6508 166.3120985 0.815367 9.035854117 27.02571601 0.212699 7.097878361 0 0 1 0
"54" 566994221 4 0 0 1 1 11.5129254649702 0 12.42 10.23 2 60 3.2188758248682 1 1 0 0 0 1 18 0 0 1 1 0 43.200053 -79.868657 35250648 6.5386 1634.326035 0.395546 9.683252049 46.69502957 0.26498 36.293992 0 0 0 0
"55" 566997008 2 0 1 1 0 1.47501882649786 15 12.42 10.23 0 2 11.5129254649702 0 0 0 0 1 1 21 0 1 0 0 0 43.258076 -79.911943 35250672 6.6385 1199.709838 0.499495 15.73366442 55.80045756 0.311577 35.69782751 0 0 0 0
"56" 567000227 2 0 1 1 0 1.06955371838969 10 3.11 10.23 0 10 11.5129254649702 0 0 0 0 0 1 19 0 1 0 0 0 43.261318 -79.907289 35250675 4.577 1688.572472 0.28083 19.4975356 109.5290252 0.356169 39.64003191 0 0 0 0
"57" 567002208 2 1 1 1 0 1.47501882649786 15 0 10.23 0 5 11.5129254649702 0 0 1 1 0 1 20 0 1 0 0 0 43.257822 -79.919413 35250669 5.4911 892.1743564 0.47946 14.30782564 45.88325261 0.268249 37.4575743 0 1 0 0
"58" 567010428 2 1 1 1 1 1.25187527518365 12 6.21 10.23 0 5 0.693147180559945 0 0 1 0 0 1 21 0 1 0 0 0 43.25756 -79.926933 35250679 6.8767 307.9100117 0.583669 9.653162301 18.34357516 0.077649 16.46633437 0 0 0 0
"59" 567011167 3 0 0 1 1 11.5129254649702 0 15 5 0 10 2.30258509299405 0 1 0 0 0 1 23 1 0 0 0 0 43.261318 -79.907289 35250675 4.577 1688.572472 0.28083 19.4975356 109.5290252 0.356169 39.64003191 0 0 0 0
"60" 567012140 3 0 0 1 1 11.5129254649702 0 5 2 0 40 3.2188758248682 0 0 1 0 0 1 19 0 0 1 1 0 43.224002 -79.738536 35250275 5.8309 962.2066606 0.153522 11.76164003 37.41914791 0.214761 18.19162638 0 0 1 0
"61" 567012164 4 0 0 1 1 11.5129254649702 0 3.98 10.23 1 42 3.40119738166216 0 0 1 0 1 1 19 0 0 1 1 0 43.201474 -79.850384 35250589 8.1589 1337.160003 0.420192 12.5475181 45.65912204 0.29758 20.7698267 0 0 1 0
"62" 567016985 1 1 1 1 0 1.94591014905531 0 24.84 10.23 0 5 11.5129254649702 0 0 1 0 1 1 21 0 1 0 0 0 43.260387 -79.90977 35250672 6.6385 1199.709838 0.499495 15.73366442 55.80045756 0.311577 35.69782751 0 1 0 0
"63" 567020780 2 0 1 1 0 1.47501882649786 15 24.84 10.23 0 10 11.5129254649702 0 0 0 0 0 1 19 0 1 0 0 0 43.252307 -79.925116 35250681 5.149 545.9654757 0.585208 10.35515054 25.69249297 0.145086 12.82083337 0 0 1 0
