"ID","ICH","SEXO","AUTLIC","ILM","HTS","JEFH","TVIA1","TVIA2","TVIA3","TVIA4","TVIA5","TCAM1","TCAM2","TCAM3","TCAM4","TCAM5","TESP3","TESP4","TESP5","CTOT1_w","CTOT2_w","CTOT3_w","CTOT4_w","CTOT5_w","DISP1","DISP2","DISP3","DISP4","DISP5"
"157",81,5,0,0.5,15000,44,0,0,924,787,0,1582,0,259,108,0,108,30,0,36,0,7.568,45.408,0,15.136,0,1,1,0,1
"159",82,3,1,0.5,48000,44,1,802,802,710,0,1114,259,259,558,0,558,48,0,54,14.8995,1.6555,14.19,0,4.73,1,1,1,0,1
"161",83,4,1,0.5,60000,44,1,742,742,726,774,1510,259,259,324,418,324,24,78,42,14.0008,2.2704,11.352,2.4596,3.784,1,1,1,1,1
"167",86,3,0,0.33,20000,44,0,562,562,805,0,1432,259,259,216,0,216,36,0,96,41.4348,6.8112,34.056,0,11.352,1,1,1,0,1
"169",87,5,0,0.5,20000,44,0,859,859,1036,0,1848,259,259,396,0,396,36,0,96,45.9756,9.0816,34.056,0,11.352,1,1,1,0,1
"171",88,5,1,1,18000,40,0,886,886,517,0,976,230,230,630,0,630,30,0,36,10.32,5.16,20.0666666666667,0,10.32,1,1,1,0,1
"173",89,5,0,0.5,50000,40,1,937,937,1198,0,2215,36,36,446,0,662,60,0,78,7.8432,3.9216,12.384,0,4.7472,1,1,1,0,1
"175",90,4,1,0.5,60000,40,1,570,570,485,552,1062,36,36,468,518,684,18,78,12,3.44,1.72,8.6,2.236,2.924,1,1,1,1,1
"177",91,1,1,0.5,32000,56,1,1134,1134,1081,0,2103,108,108,454,0,454,24,0,42,9.933,4.9665,27.09,0,9.03,1,1,1,0,1
"181",93,1,1,1,35000,48,1,269,269,356,234,839,36,36,504,936,324,48,78,192,28.6601142857143,1.76914285714286,17.6914285714286,4.59977142857143,6.36891428571429,1,1,1,1,1
"183",94,2,0,0.5,35000,48,1,0,558,659,0,980,0,0,270,0,270,30,0,36,0,2.12297142857143,17.6914285714286,0,7.07657142857143,0,1,1,0,1
"185",95,5,1,0.66,60000,50,0,373,373,478,0,685,324,324,324,0,324,30,0,36,6.45,1.075,10.75,0,4.3,1,1,1,0,1
"191",98,1,0,0.5,8000,53,0,1234,1234,1520,0,2096,230,230,504,0,540,48,0,108,121.35675,34.185,85.4625,0,34.185,1,1,1,0,1
"193",99,4,0,0,27000,44,1,0,539,476,456,989,0,230,266,518,266,18,78,12,0,3.36355555555556,25.2266666666667,5.46577777777778,8.40888888888889,0,1,1,1,1
"197",101,1,1,1,68500,44,1,374,374,484,0,692,230,230,223,0,223,30,0,36,8.12040875912409,0.828613138686131,8.28613138686131,0,3.31445255474453,1,1,1,0,1
"199",102,4,1,1,60000,40,1,0,401,0,281,534,0,230,0,410,432,0,78,6,0,1.032,0,2.236,3.44,0,1,0,1,1
"201",103,5,1,1,25000,40,0,1099,1099,1388,0,2273,230,230,346,0,346,36,0,96,34.2624,8.6688,24.768,0,8.256,1,1,1,0,1
"206",106,1,1,1,50000,50,1,621,621,592,0,833,230,230,223,0,223,30,0,54,13.416,1.548,12.9,0,4.386,1,1,1,0,1
"210",108,3,1,0.5,60000,40,0,1204,1204,1180,0,1876,252,252,864,0,864,30,0,96,23.908,3.268,8.6,0,3.44,1,1,1,0,1
"212",109,4,1,0.5,18000,48,0,366,366,338,281,584,324,324,443,695,443,12,78,6,61.92,3.44,41.28,8.944,12.384,1,1,1,1,1
"214",110,1,1,0.5,32000,40,1,961,0,1406,0,2257,252,0,698,0,698,36,0,96,32.895,0,19.35,0,6.45,1,0,1,0,1
"216",111,1,1,1,90000,40,1,1102,1102,1177,0,2409,180,180,533,0,540,60,0,96,12.728,3.44,6.88,0,2.29333333333333,1,1,1,0,1
"218",112,3,1,0.5,80000,40,1,955,955,1105,0,2257,468,468,576,0,576,60,0,96,17.157,3.354,7.74,0,2.58,1,1,1,0,1
"220",113,3,0,1,60000,40,1,0,1052,1293,0,2323,0,252,767,0,767,60,0,96,0,4.816,10.32,0,3.44,0,1,1,0,1
"222",114,2,0,1,25000,40,0,0,1118,994,0,2387,0,108,479,0,486,60,0,96,0,12.384,24.768,0,8.256,0,1,1,0,1
"224",115,5,1,0.6,30000,40,0,571,571,694,0,1151,144,144,486,0,486,48,0,54,41.28,3.44,20.64,0,6.88,1,1,1,0,1
"226",116,4,1,0.5,90000,40,1,672,0,892,690,1298,468,0,684,1094,684,48,78,54,12.04,0,6.88,1.49066666666667,2.29333333333333,1,0,1,1,1
"228",117,1,1,1,160000,40,1,1148,1148,1297,0,1718,144,144,562,0,562,48,0,54,8.4495,0.645,3.87,0,1.29,1,1,1,0,1
"230",118,5,1,0.5,80000,48,1,1171,1171,1498,0,2180,324,324,828,0,828,48,0,108,15.48,3.096,9.288,0,3.096,1,1,1,0,1
"232",119,5,1,0.5,90000,48,1,0,0,1208,0,1974,0,0,310,0,598,60,0,48,0,0,8.256,0,2.752,0,0,1,0,1
"234",120,3,1,0.5,80000,50,1,1249,1249,1241,0,2182,446,446,432,0,684,36,0,60,24.34875,4.03125,9.675,0,3.225,1,1,1,0,1
"236",121,4,0,0.5,25000,48,0,0,0,563,456,1135,0,0,324,432,324,18,78,12,0,0,29.7216,6.43968,9.9072,0,0,1,1,1
"240",124,4,0,0.5,40000,40,0,0,948,952,906,1997,0,446,252,972,252,24,78,42,0,4.386,15.48,3.612,5.16,0,1,1,1,1
"244",126,5,1,0.5,90000,48,1,1204,1204,1193,0,1978,446,446,410,0,641,60,0,54,20.0896,3.1648,8.256,0,2.752,1,1,1,0,1
"248",128,1,1,0.66,40000,48,0,1148,1148,1073,0,1858,518,518,432,0,432,36,0,60,44.2728,6.8112,18.576,0,5.5728,1,1,1,0,1
"253",131,5,0,1,9000,44,0,0,864,827,0,1241,0,144,648,0,648,30,0,96,0,21.4426666666667,75.68,0,25.2266666666667,0,1,1,0,1
"255",132,1,1,1,1e+05,40,1,1006,1006,1406,0,2105,144,144,526,0,936,36,0,150,5.8824,1.9608,6.192,0,2.064,1,1,1,0,1
"258",134,4,1,0.5,35000,50,1,614,614,631,533,1279,144,144,396,396,396,18,78,12,11.7942857142857,4.05428571428571,22.1142857142857,4.79142857142857,7.37142857142857,1,1,1,1,1
"260",135,2,0,0,18000,45,1,0,596,659,0,1197,0,86,371,0,371,30,0,36,0,4.515,38.7,0,10.965,0,1,1,0,1
"262",136,1,0,1,25000,44,0,961,961,1205,0,2057,144,144,770,0,770,36,0,96,26.33664,8.17344,27.2448,0,9.0816,1,1,1,0,1
"264",137,4,0,0,8000,40,0,0,0,0,378,903,0,0,0,360,360,0,78,6,0,0,0,16.77,25.8,0,0,0,1,1
"268",139,1,0,1,50000,44,1,1446,1446,1119,0,2192,144,144,583,0,619,30,0,138,12.71424,3.85968,13.6224,0,4.5408,1,1,1,0,1
"270",140,4,1,0,9000,35,0,0,0,575,533,1201,0,0,432,432,432,18,78,12,0,0,60.2,13.0433333333333,20.0666666666667,0,0,1,1,1
"272",141,4,1,0,34000,44,1,0,482,546,378,995,0,144,360,756,360,48,78,54,0,2.67105882352941,20.0329411764706,4.34047058823529,6.67764705882353,0,1,1,1,1
"274",142,1,1,1,90000,44,1,1574,1574,994,0,2540,144,144,1296,0,670,30,0,96,5.42373333333333,1.38746666666667,6.30666666666667,0,2.52266666666667,1,1,1,0,1
"276",143,2,0,0.5,20000,40,0,0,672,211,0,1414,0,108,1159,0,367,30,0,36,0,5.16,25.8,0,10.32,0,1,1,0,1
"281",147,2,0,1,40000,44,0,0,1565,1484,0,2624,0,144,547,0,547,30,0,96,0,7.6626,14.19,0,5.676,0,1,1,0,1
"283",148,1,0,1,58000,47,1,478,478,275,324,738,202,202,295,281,295,18,78,6,2.92696551724138,1.46348275862069,12.5441379310345,2.71789655172414,3.5541724137931,1,1,1,1,1
"285",149,2,0,0,50000,44,1,344,344,313,0,545,202,202,173,0,173,48,0,42,3.17856,1.58928,13.6224,0,4.5408,1,1,1,0,1
"287",150,1,0,0.75,1e+05,40,1,517,517,452,533,1122,0,0,43,130,130,18,78,12,11.9712,0.8256,6.192,1.3416,2.064,1,1,1,1,1
"289",151,1,1,1,1e+05,50,1,837,837,1089,0,1940,288,288,648,0,648,36,0,96,17.544,2.322,7.74,0,2.58,1,1,1,0,1
"291",152,4,1,0.75,60000,50,0,517,517,441,468,1002,288,288,238,288,238,18,78,12,25.37,1.935,12.9,3.01,4.3,1,1,1,1,1
"293",153,1,1,1,150000,40,1,1027,1027,1095,0,1997,194,194,792,0,612,30,0,258,7.9808,1.2384,3.44,0,1.376,1,1,1,0,1
"303",160,4,1,0.66,30000,40,0,782,782,637,774,1399,346,346,360,360,360,24,78,42,46.44,5.848,20.64,4.472,6.88,1,1,1,1,1
"307",162,1,0,1,50000,45,0,835,0,1180,0,1778,468,0,389,0,389,48,0,54,38.7774,0,13.932,0,4.644,1,0,1,0,1
"309",163,4,1,0.33,65000,45,0,708,708,815,840,1645,468,468,554,619,554,24,78,42,30.0073846153846,2.50061538461538,10.7169230769231,2.322,3.57230769230769,1,1,1,1,1
"312",165,1,1,0.37,85000,45,0,682,682,662,0,1549,684,684,684,0,684,36,0,96,10.3807058823529,1.77564705882353,8.19529411764706,0,2.73176470588235,1,1,1,0,1
"321",170,5,1,0.5,75000,42,1,1103,1103,0,0,2216,108,108,0,0,151,0,0,78,22.24992,3.90096,0,0,2.8896,1,1,0,0,1
"325",172,5,1,0.5,150000,45,1,980,980,973,0,1885,374,374,475,0,475,60,0,18,11.223,1.7802,4.644,0,1.548,1,1,1,0,1
"327",173,1,1,1,150000,45,1,573,573,802,0,1189,288,288,821,0,821,48,0,54,1.7802,0.9288,4.644,0,1.548,1,1,1,0,1
"329",174,1,1,1,150000,45,1,617,617,835,0,1229,324,324,493,0,493,48,0,54,1.7028,0.8514,4.644,0,1.548,1,1,1,0,1
"337",178,1,1,1,140000,48,1,828,828,960,0,1709,108,108,662,0,490,60,0,168,3.00754285714286,1.50377142857143,5.30742857142857,0,1.76914285714286,1,1,1,0,1
"341",180,2,1,0,60000,45,1,0,1325,1178,0,2362,0,576,511,0,454,60,0,168,0,7.74,11.61,0,3.87,0,1,1,0,1
"343",181,2,1,0.5,35000,50,0,0,656,797,0,1419,0,396,403,0,346,36,0,90,0,9.21428571428572,22.1142857142857,0,7.37142857142857,0,1,1,0,1
"345",182,1,1,0.66,1e+05,50,1,835,835,727,0,1448,36,36,418,0,418,30,0,36,3.225,1.548,7.74,0,2.58,1,1,1,0,1
"347",183,1,1,0.6,50000,48,0,1063,1063,1430,0,2428,346,346,677,0,374,60,0,168,26.74944,7.18272,14.8608,0,4.9536,1,1,1,0,1
"349",184,4,0,0.5,25000,45,0,0,0,495,456,1093,0,0,216,835,216,48,78,54,0,0,27.864,6.0372,9.288,0,0,1,1,1
"353",186,5,1,1,60000,50,1,1190,0,0,0,1807,346,0,0,0,454,0,0,138,18.275,0,0,0,4.3,1,0,0,0,1
"355",187,4,1,0.5,98000,45,1,0,0,551,546,1225,0,0,338,403,338,18,78,12,0,0,7.10816326530612,1.54010204081633,2.36938775510204,0,0,1,1,1
"359",189,1,0,1,50000,50,1,849,849,0,0,2000,245,245,0,0,821,0,0,198,37.668,5.934,0,0,5.16,1,1,0,0,1
"361",190,4,0,0,38000,48,1,0,0,833,840,1721,0,0,360,425,360,24,78,42,0,0,19.5536842105263,4.23663157894737,6.5178947368421,0,0,1,1,1
"363",191,1,0,1,18000,48,0,899,899,1085,0,2158,310,310,403,0,403,60,0,114,17.2,8.256,30.96,0,13.76,1,1,1,0,1
"365",192,5,1,0.66,96000,44,1,1114,0,0,0,1628,396,0,0,0,490,0,0,180,16.43675,0,0,0,2.1285,1,0,0,0,1
"367",193,5,1,0.5,60000,48,1,752,752,1058,0,1975,252,252,857,0,137,60,0,168,7.6368,3.9216,12.384,0,4.128,1,1,1,0,1
"369",194,5,0,1,75000,48,1,160,0,0,0,383,166,0,0,0,328,0,0,90,17.50272,0,0,0,2.97216,1,0,0,0,1
"371",195,5,0,1,59000,48,1,0,187,196,144,265,0,166,522,738,256,12,78,12,0,0.629694915254237,10.4949152542373,2.72867796610169,3.77816949152542,0,1,1,1,1
"375",197,5,0,0.5,160000,50,1,0,1135,1080,0,2096,0,490,317,0,590,24,0,42,0,1.693125,4.8375,0,1.6125,0,1,1,0,1
"377",198,3,0,0,25000,50,0,0,0,1258,0,1676,0,0,173,0,446,48,0,54,0,0,25.8,0,10.32,0,0,1,0,1
"385",202,4,1,0.5,130000,45,1,0,570,724,546,1183,0,490,360,1166,374,48,78,54,0,0.803769230769231,5.35846153846154,1.161,1.78615384615385,0,1,1,1,1
"387",203,2,1,1,122000,50,1,1003,1003,0,774,1682,396,396,0,943,288,0,78,54,3.59508196721311,1.79754098360656,0,1.37459016393443,2.11475409836066,1,1,0,1,1
"389",204,4,1,1,75000,44,1,417,417,479,390,1001,7,7,382,778,454,18,78,12,1.05952,0.60544,9.0816,1.96768,3.0272,1,1,1,1,1
"391",205,1,1,0.5,75000,44,1,1178,0,1177,0,2129,72,0,569,0,691,36,0,60,9.0816,0,9.0816,0,3.0272,1,0,1,0,1
"393",206,5,1,1,13000,44,0,0,0,0,0,1256,0,0,0,0,1202,0,0,60,0,0,0,0,15.7181538461538,0,0,0,0,1
"395",207,1,0,1,60000,45,1,635,635,908,0,1594,72,72,259,0,382,36,0,96,5.418,2.709,11.61,0,3.87,1,1,1,0,1
"399",209,4,1,0.4,80000,50,0,788,0,752,774,1587,526,0,259,396,274,24,78,42,18.22125,0,9.675,2.09625,3.225,1,0,1,1,1
"401",210,5,0,0,27000,44,0,0,0,433,0,916,0,0,230,0,230,30,0,36,0,0,25.2266666666667,0,8.40888888888889,0,0,1,0,1
"407",213,5,1,0,43500,44,1,0,891,1157,0,1439,0,0,763,0,590,90,0,276,0,5.74124137931034,15.6579310344828,0,6.00220689655172,0,1,1,0,1
"409",214,5,1,0,15000,44,1,0,0,1013,0,1493,0,0,166,0,180,30,0,96,0,0,45.408,0,15.136,0,0,1,0,1
"411",215,5,0,1,20000,44,0,0,1109,1349,0,1927,0,396,101,0,101,48,0,54,0,13.6224,28.38,0,11.352,0,1,1,0,1
"413",216,1,1,1,70000,50,1,819,0,1142,0,1973,36,0,367,0,367,36,0,96,6.26571428571429,0,9.21428571428572,0,3.68571428571429,1,0,1,0,1
